index,area,city
249,Madigubba ,1
250,Madugupalli ,1
251,Malayanuru ,1
252,Mallapuram ,1
253,Mallenipalli ,1
254,Malyam ,1
255,Mamadur ,1
256,Mamaduru ,1
257,Manirevu ,1
258,Mannila ,1
259,Marrimakulapalli ,1
260,Marthadu ,1
261,Marutla ,1
262,Medikurthi ,1
263,Miduthur ,1
264,Modinabad ,1
265,Mopidi ,1
266,Motilal Street ,1
267,Muchukota ,1
268,Muddalapuram ,1
269,Muddinayanipalli ,1
270,Mudigal ,1
271,Mulakaledu ,1
272,Mulakanur ,1
273,Muntimadugu ,1
274,Muppalakunta ,1
275,Muradi ,1
276,Muradi Hanumapuram ,1
277,Muttala ,1
278,N.Hanumapuram ,1
279,N.Narsapuram ,1
280,N.Thimmapuram ,1
281,Nadimidoddi ,1
282,Nagalapuram ,1
283,Nagarur ,1
284,Nagasamudram ,1
285,Nakkalapalli ,1
286,Nakkanadoddi ,1
287,Narapla ,1
288,Narasanenikunta ,1
289,Narasapuram ,1
290,Narasapuram ,1
291,Narasapuram East ,1
292,Narasapuram West ,1
293,Narayanapuram ,1
294,Narinjagundlapalli ,1
295,Nelagonda ,1
296,Nemakallu ,1
297,Netrapalli ,1
298,Nimbagallu ,1
299,Nitturu ,1
300,Nizava.Lli ,1
301,Nuthimadugu ,1
302,Obulapuram ,1
303,Obulapuram ,1
304,Oddupalli ,1
305,Old Guntakal ,1
306,Old Town  (Ananthapur),1
307,Ontimiddi ,1
308,P Narayana Puram ,1
309,P Siddarampuram ,1
310,P Yaleru ,1
311,P.C.Peapully ,1
312,Pabr Sam Site ,1
313,Palacherla ,1
314,Palavoyi ,1
315,Pallepalli ,1
316,Palluru ,1
317,Palthur ,1
318,Palyam ,1
319,Pamidi ,1
320,Pandikunta ,1
321,Papampalli ,1
322,Pappuru ,1
323,Parlachedu ,1
324,Parsannayapalli ,1
325,Pasalur ,1
326,Patel Road ,1
327,Pathakothacheruvu ,1
328,Pedda Kowkuntla ,1
329,Pedda Vadagur ,1
330,Peddapappuru ,1
331,Peddapolamada ,1
332,Peddayakkalur ,1
333,Pedoddi ,1
334,Penakacherla ,1
335,Peravali ,1
336,Pillalapalli ,1
337,Podaralla ,1
338,Polepalli ,1
339,Poliki ,1
340,Pottipadu ,1
341,Pulakunta ,1
342,Pulakurthy ,1
343,Pulicherla ,1
344,Pulukunta ,1
345,Puppala ,1
346,Putlur ,1
347,R.B.Vanka ,1
348,R.Kothapalli ,1
349,Rachanapalli ,1
350,Rachepalli ,1
351,Ragulapadu ,1
352,Railway Colony  (Ananthapur),1
353,Rajaji Street ,1
354,Rajapuram ,1
355,Rajendra Nagar  (Ananthapur),1
356,Rajiv Colony ,1
357,Raketla ,1
358,Ramachandra Nagar ,1
359,Ramapuram ,1
360,Ramarajupalli ,1
361,Ramasagaram ,1
362,Ramnagar  (Ananthapur),1
363,Rangachedu ,1
364,Raptadu ,1
365,Ravuludiki ,1
366,Rayadurg  Bazar ,1
367,Rayadurg Fort ,1
368,Rayadurg ,1
369,Rayalacheruvu ,1
370,Rayalappadoddi ,1
371,Rayampalli ,1
372,Reddipalli ,1
373,Reddivaripalem ,1
374,Renimakulapalli ,1
375,Rotarypuram ,1
376,Rudrampeta ,1
377,Sainagar ,1
378,Sajjaladinne ,1
379,Salakamcheruvu ,1
380,Sanapa ,1
381,Satyanandanagar ,1
382,Seeripi ,1
383,Senagalaguduru ,1
384,Shaikshanipalli ,1
385,Shettur ,1
386,Siddarampuram ,1
387,Singanahalli ,1
388,Singanamala ,1
389,Singavaram ,1
390,Sollapuram ,1
391,Somaladoddi ,1
392,Somalapuram ,1
393,Sreedharghatta ,1
394,Sri Venkateswara Puram ,1
395,Srirangapuram ,1
396,T.Veerapuram ,1
397,Tadpatri Bazar ,1
398,Tadpatri Bus Stand ,1
399,Tadpatri Extension ,1
400,Tadpatri ,1
401,Takkalapalli ,1
402,Tallakera ,1
403,Talupuru ,1
404,Tapovanagar ,1
405,Tarimala ,1
406,Taticherla ,1
407,Tatrakallu ,1
408,Teliki ,1
409,Tenagal ,1
410,Thabjula ,1
411,Thagguparthi ,1
412,Theetakallu ,1
413,Therannapalli ,1
414,Thimmampalli ,1
415,Thimmampeta ,1
416,Thimmapuram ,1
417,Thimmapuram ,1
418,Thimmasamudram ,1
419,Thippanapalli ,1
420,Thondapadu ,1
421,Thopudurthi ,1
422,Thumukunta ,1
423,Thutrallapalli ,1
424,Timmanacharla ,1
425,Uddihal ,1
426,Udegolam ,1
427,Udiripikonda ,1
428,Ullikallu ,1
429,Undabanda ,1
430,Unthakallu ,1
431,Upparapalli ,1
432,Uravakonda (Bus Stand) ,1
433,Uravakonda ,1
434,Urichintala ,1
435,Vaddepalem ,1
436,Vadiampeta ,1
437,Vajrakarur ,1
438,Vanganuru ,1
439,Vankarajukalva ,1
440,Veerapuram ,1
441,Vekigonda ,1
442,Velamakur ,1
443,Velpumadugu ,1
444,Vemulapadu ,1
445,Venkatampalli ,1
446,Venkatampalli ,1
447,Venkatapuram ,1
448,Venkatareddipalli ,1
449,Venkayakalva ,1
450,Vennupusalapalli ,1
451,Vepalaparthy ,1
452,Veparalla ,1
453,Vidapanakal ,1
454,Virupapalli ,1
455,Vitlampalli ,1
456,Vontareddipalli ,1
457,Y Rama Puram ,1
458,Y.T.Cheruvu ,1
459,Yadiki ,1
460,Yatakal ,1
461,Yelagalavanka ,1
462,Yellanur ,1
463,Yellutla ,1
464,Yenumulachennampalli ,1
465,Yenumuladoddi ,1
466,Yerragudi ,1
467,Yerragunta ,1
468,Yerragunta ,1
469,Yerraguntapalli ,1
470,Yerraguntla ,1
471,Yerrampalli ,1
472,Adavibudugur ,2
473,Adilakshmambapuram ,2
474,Agraharam ,2
475,Akanambattu ,2
476,Alappalle ,2
477,Amudala ,2
478,Angallu ,3
479,Annagaripalle ,2
480,Appa Rao Street ,3
481,Appinapalle ,2
482,Aradigunta ,2
483,Arikela ,2
484,Arimakulapalle ,2
485,Arimanipenta ,2
486,Arogyavaram ,3
